dept_cd_x,部門名,store_cd_x,item_cd,商品名,自発対象開始日,自発対象終了日,欠品マス目,販売数計,94,240,253,256,259,268,289,293,480,514,543,623,736,737,738,754,757,842,845,846,876,879
369992,Ｍａｃ純正アクセサリー,861,4547597916315 ,USB-C Digital AV Multiport ｱﾀﾞﾌﾟﾀ,2015/6/10,,25,37,21,,,,,1,,1,,,,,,,,,,6,,,,8
369992,Ｍａｃ純正アクセサリー,861,4547597900413 ,Apple 29W USB-C 電源ｱﾀﾞﾌﾟﾀ,2015/6/10,,24,3,3,,,,,,,,,,,,,,,,,,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597922200 ,電源ｱﾀﾞﾌﾟﾀ延長ｹｰﾌﾞﾙ,2017/7/14,,24,2,1,,,,,,,,,,,,,,,,,1,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597855577 ,AirMac Extreme,2014/10/14,,23,30,21,,,,,1,3,,,,,,,,,,,5,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597993170 ,Apple TV 4K(32GB),2017/9/24,,16,34,26,,,,,,1,,,,,,,,,,,6,,,,1
369992,Ｍａｃ純正アクセサリー,861,4547597985120 ,Magic Keyboard(ﾃﾝｷｰ付)日本語(JIS),2017/6/7,,14,26,15,,,,,,8,,,,,,,,,,,3,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597916322 ,USB-C VGA Multiport ｱﾀﾞﾌﾟﾀ,2015/6/10,,14,23,14,,,,,3,,,,,,,,,,1,,1,,,1,3
369992,Ｍａｃ純正アクセサリー,861,4547597993163 ,Apple TV 4K(64GB),2017/9/22,,13,42,18,,,,,,4,,2,,,,,,,,,17,,,,1
369992,Ｍａｃ純正アクセサリー,861,4547597752715 ,AirMac Express ﾍﾞｰｽｽﾃｰｼｮﾝ,2014/3/6,,11,5,3,,,,,,,,,,,,,,,,,2,,,,
369992,Ｍａｃ純正アクセサリー,861,4549995018424 ,Apple TV(第4世代) 32GB,2017/9/27,,10,29,16,,,,,5,1,,,,1,,,,,,,5,,,,1
397020,セキュリティ　（ＷＩＮ）,861,4535946161202 ,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ,2018/6/27,,10,20,10,,,,,,,,,1,,,,,,,,4,,3,,2
308116,ｉＰａｄｍｉｎｉ本体Ｗｉ−Ｆｉ,861,4547597918395 ,iPad mini 4 Wi-Fi 128GB ｺﾞｰﾙﾄﾞ,2017/3/31,,10,15,7,,,,,,1,,,,,,,,,,,7,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597746585 ,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 85W,2013/3/11,,10,5,3,,,,,,,,,,,,,,,,,1,,,,1
301040,ｉＭａｃ,861,4547597988169 ,27ｲﾝﾁiMac Pro Retina 5Kﾃﾞｨｽﾌﾟﾚｲﾓﾃﾞﾙ: 3.2GHz 8ｺｱ,2018/1/26,,10,3,2,,,,,,,,,,,,,,,,,1,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597817070 ,Apple Mini DisplayPort-DVIｱﾀﾞﾌﾟﾀ,2017/9/28,,10,2,,,,,,,,,,,,,,,,,,,,,,2
369992,Ｍａｃ純正アクセサリー,861,4547597830406 ,AirMac Time Capsule 2TB,2014/3/13,,9,7,5,,,,,,,,,,,,,,,,,2,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597932902 ,Magic Keyboard JIS,2015/11/5,,8,13,10,,,,,,,,,,,,,,,,,1,,,,2
301040,ｉＭａｃ,861,4547597961803 ,iMac 21.5/3.0QC/8GB/1TB/RP555-JPN,2017/6/6,,8,12,9,,,,,,,,0,,,,,,,,,2,,,,1
369992,Ｍａｃ純正アクセサリー,861,4549995024319 ,Thunderbolt 3(USB-C)ｹｰﾌﾞﾙ 0.8m,2018/1/18,,8,8,5,,,,,,2,,,,,,,,,,,,,,,1
369992,Ｍａｃ純正アクセサリー,861,4547597732359 ,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W,2014/4/13,,7,5,3,,,,,,,,,,,,,,,,,1,,,,1
369992,Ｍａｃ純正アクセサリー,861,4549995034950 ,Magic Mouse 2-ｽﾍﾟｰｽｸﾞﾚｲ,2018/4/8,,6,28,21,,,,,,3,,1,,,,,,,,,3,,,,
301040,ｉＭａｃ,861,4547597961841 ,iMac 27/3.4QC/8GB/1TB FD/RP570-JPN,2017/6/6,,5,13,9,,,,,,,,,,,,,,,,,4,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597933527 ,Magic Keyboard US,2015/11/5,,5,8,6,,,,,,1,,,,,,,,,,,,,,,1
301040,ｉＭａｃ,861,4547597961780 ,iMac 21.5/2.3DC/8GB/1TB-JPN,2017/6/6,,5,12,5,,,,,,,,,,,,,,,,,7,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597812013 ,MagSafe MagSafe 2ｺﾝﾊﾞｰﾀ,2014/4/8,,4,20,14,,,,,1,,,,,,,,,,,,4,,,,1
369992,Ｍａｃ純正アクセサリー,861,4547597693179 ,Apple 60W MagSafe,2017/7/3,,4,2,2,,,,,,,,,,,,,,,,,,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597916339 ,USB-C-USB ｱﾀﾞﾌﾟﾀ,2015/6/10,,3,39,26,,,,,,0,,,,,,,,,,,13,,,,
369992,Ｍａｃ純正アクセサリー,861,4547597736388 ,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ,2017/7/11,,3,12,7,,,,,,,,,,,,,,,3,,,,,,2
369992,Ｍａｃ純正アクセサリー,861,4547597814277 ,Apple MagSafe 2 電源ｱﾀﾞﾌﾟﾀ 45W,2013/5/7,,3,14,6,,,,,,,,,,,,,,,,,5,,,,3
369992,Ｍａｃ純正アクセサリー,861,4547597816523 ,Apple Thunderboltｹｰﾌﾞﾙ 2.0m,2014/5/26,,3,6,2,,,,,,,,,,,,,,,,,1,,,,3
369992,Ｍａｃ純正アクセサリー,861,4547597817087 ,Apple Mini DisplayPort-VGAｱﾀﾞﾌﾟﾀ,2014/10/14,,3,13,1,,,,,2,,,,,,,,,,3,1,2,,,1,3
369992,Ｍａｃ純正アクセサリー,861,4547597814260 ,Apple MagSafe 2 電源ｱﾀﾞﾌﾟﾀ 85W,2017/7/11,,2,9,7,,,,,1,,,,,,,,,,,,,,,1,
301040,ｉＭａｃ,861,4547597961865 ,iMac 27/3.8QC/8GB/2TB FD/RP580-JPN,2017/6/6,,2,2,1,,,,,,1,,,,,,,,,,,,,,,
367020,ターミナルアダプタ,861,4527977439276 ,PCIT21D1LPW,2017/7/18,,2,13,,9,2,,,,,,,,,,1,,,,,,1,,,
367020,ターミナルアダプタ,861,4955595097415 ,INSﾒｲﾄV30SLIM 関西・天神,2017/1/11,,1,254,207,3,4,,6,,,,,,,,,2,9,,,15,4,4,,
367020,ターミナルアダプタ,861,4955595097378 ,INSﾒｲﾄV30SIim(P),2017/1/19,,1,164,124,,,1,3,,2,,,,,1,2,3,,,,15,,5,,8
369992,Ｍａｃ純正アクセサリー,861,4547597987520 ,Magic Keyboard(ﾃﾝｷｰ付) 英語(US),2017/8/27,,1,10,8,,,,,,2,,,,,,,,,,,,,,,
369992,Ｍａｃ純正アクセサリー,861,4549995034967 ,Magic Trackpad 2-ｽﾍﾟｰｽｸﾞﾚｲ,2018/4/8,,1,14,6,,,,,,1,,,,1,,,,,,,3,,,,3
